Name,2015,2014,2013,2012,2011,2010,2009,Lat,Lng
"Newark, NY",2057462,1996433,1940805,1894511,1836427,1808962,1708088,43.047,-77.095
"Los Angeles, CA",1974616,1935518,1898687,1873305,1823727,1810398,1717045,34.052,-118.244
"San Francisco, CA",937170,912240,889054,873172,860202,849729,810200,37.775,-122.419
"San Jose, CA",621060,600942,580972,566923,538456,524584,503945,37.338,-121.886
"Chicago, IL",563171,547926,531644,519020,492132,485015,463528,41.878,-87.630
Washington D.C.,536482,519248,501659,488739,443055,435978,398669,38.907,-77.037
"Seattle, WA",428524,412835,395926,383569,363580,352779,326766,47.606,-122.332
"Houston, TX",428468,408867,392208,377844,315598,309413,281944,29.760,-95.370
"Honolulu, HI",383321,383704,382647,383990,378055,376601,352625,21.307,-157.858
"San Diego, CA",363307,352558,343307,337548,295116,290955,275993,32.716,-117.161
"Dallas, TX",352919,334057,320611,307734,251745,244813,230869,32.777,-96.797
"Boston, MA",329650,316421,302442,293958,282151,274471,254828,42.360,-71.059
"Philadelphia, PA",318384,307293,296869,288106,274078,267236,241319,39.953,-75.165
"Atlanta, GA",284341,272219,260571,250894,221078,213990,197546,33.749,-84.388
"Sacramento, CA",248989,242543,237028,230883,176685,177009,166268,38.582,-121.494
"Minneapolis, MN",204084,196785,189847,182563,163938,160993,146614,44.978,-93.265
"Las Vegas, NV",184704,178806,173577,168459,0,105614,92754,36.170,-115.140
"Detroit, MI",156691,149541,145790,141584,136940,136932,134983,42.331,-83.046
"Phoenix, AZ",143019,136810,130942,127168,0,0,0,33.448,-112.074
"Miami, FL",139814,135892,131129,129122,120408,118802,115810,25.762,-80.192
"Portland, OR",0,0,0,0,118012,115542,108356,45.523,-122.677
"Baltimore, MD",0,0,0,0,108411,0,0,39.290,-76.612
